Date,Location,Total points,Points flowering,New flowers,Total Flowers
25 Mar 20,21*g,1,0,0,
25 Mar 20,23*3a,5,0,0,
26 Mar 20,3*2ag,8,3,2,
26 Mar 20,4*3a2g,11,0,0,
26 Mar 20,4*3a,9,2,2,
26 Mar 20,4*2a,8,1,2,
26 Mar 20,3*3g,2,0,0,
26 Mar 20,6*2a,1,0,0,
26 Mar 20,5*2a,1,1,0,
26 Mar 20,5*2ag,3,0,0,
26 Mar 20,5*3as,1,0,0,
26 Mar 20,5*4a,9,5,4,
26 Mar 20,6*5a,1,1,1,
26 Mar 20,5*4as,5,1,0,
26 Mar 20,7*3a3s,1,0,0,
26 Mar 20,8*4a2s,2,0,0,
26 Mar 20,7*3a2s,1,0,0,
26 Mar 20,7*3as,5,0,0,
26 Mar 20,7*3a,2,2,0,
26 Mar 20,8*4a,3,2,2,
26 Mar 20,7*2a,1,1,1,
26 Mar 20,7*a,6,0,0,
26 Mar 20,8*d,2,0,0,
26 Mar 20,7*c,1,0,0,
26 Mar 20,9*2a,3,1,1,
26 Mar 20,10*s,8,0,0,
26 Mar 20,10*as,3,0,0,
26 Mar 20,10*2a,1,0,0,
26 Mar 20,12*2ag,9,2,1,
26 Mar 20,11*g,3,0,0,
26 Mar 20,12*g,1,0,0,
26 Mar 20,13*g,4,0,0,
26 Mar 20,15*2d,1->2,1,0,
26 Mar 20,16*m,1,0,0,
26 Mar 20,17*a,1,0,0,
26 Mar 20,19*d,7,0,0,
26 Mar 20,19*2d,1,0,0,
26 Mar 20,20*a,3,1,1,
26 Mar 20,21*g,1,0,0,
26 Mar 20,23*3a,5,0,0,
27 Mar 20,3*2ag,8,3,2,
27 Mar 20,4*3a2g,11,0,0,
27 Mar 20,4*3a,9,2,2,
27 Mar 20,4*2a,8,1,0,
27 Mar 20,3*3g,2,0,0,
27 Mar 20,6*2a,1,0,0,
27 Mar 20,5*2a,1,1,1,
27 Mar 20,5*2ag,3,0,0,
27 Mar 20,5*3as,1,0,0,
27 Mar 20,5*4a,9,5,4,
27 Mar 20,6*5a,1,1,0,
27 Mar 20,5*4as,5,1,1,
27 Mar 20,7*3a3s,1,0,0,
27 Mar 20,8*4a2s,2->3,0,0,
27 Mar 20,7*3a2s,1,0,0,
27 Mar 20,7*3as,5,0,0,
27 Mar 20,7*3a,2,2,0,
27 Mar 20,8*4a,3,2,1,
27 Mar 20,7*2a,1->2,1,0,
27 Mar 20,7*a,6,0,0,
27 Mar 20,8*d,2,0,0,
27 Mar 20,7*c,1,0,0,
27 Mar 20,9*2a,3,1,0,
27 Mar 20,10*s,8,0,0,
27 Mar 20,10*as,3,0,0,
27 Mar 20,10*2a,1,0,0,
27 Mar 20,12*2ag,9,2,1,
27 Mar 20,11*g,3,0,0,
27 Mar 20,12*g,1,0,0,
27 Mar 20,13*g,4,0,0,
27 Mar 20,15*2d,1->2,1,1,
27 Mar 20,16*m,1,0,0,
27 Mar 20,17*a,1,0,0,
27 Mar 20,19*d,7,0,0,
27 Mar 20,19*2d,1,0,0,
27 Mar 20,20*a,3,1,1,
27 Mar 20,21*g,1,0,0,
27 Mar 20,23*3a,5,0,0,
28 Mar 20,3*2ag,8,3,0,
28 Mar 20,4*3a2g,11->12,0,0,
28 Mar 20,4*3a,9,2,1,
28 Mar 20,4*2a,8,2,2,
28 Mar 20,3*3g,2,0,0,
28 Mar 20,6*2a,1,0,0,
28 Mar 20,5*2a,1,1,1,
28 Mar 20,5*2ag,3,0,0,
28 Mar 20,5*3as,1,0,0,
28 Mar 20,5*4a,9,5,1,
28 Mar 20,6*5a,1,1,1,
28 Mar 20,5*4as,5,1,1,
28 Mar 20,7*3a3s,1,0,0,
28 Mar 20,8*4a2s,3,0,0,
28 Mar 20,7*3a2s,1,0,0,
28 Mar 20,7*3as,5,0,0,
28 Mar 20,7*3a,2,2,1,
28 Mar 20,8*4a,3,2,0,
28 Mar 20,7*2a,2,1,1,
28 Mar 20,7*a,6,0,0,
28 Mar 20,8*d,2,0,0,
28 Mar 20,7*c,1,0,0,
28 Mar 20,9*2a,3,1,1,
28 Mar 20,10*s,8,0,0,
28 Mar 20,10*as,3->6,0,0,
28 Mar 20,10*2a,1,0,0,
28 Mar 20,12*2ag,9,2,3,
28 Mar 20,11*g,3,0,0,
28 Mar 20,12*g,1,0,0,
28 Mar 20,13*g,4,0,0,
28 Mar 20,15*2d,2,1,0,
28 Mar 20,16*m,1,0,0,
28 Mar 20,17*a,1,0,0,
28 Mar 20,19*d,7,0,0,
28 Mar 20,19*2d,1,0,0,
28 Mar 20,20*a,3,1,1,
28 Mar 20,21*g,1,0,0,
28 Mar 20,23*3a,5,0,0,
29 Mar 20,3*2ag,8,3,3,
29 Mar 20,4*3a2g,12,0,0,
29 Mar 20,4*3a,9,2,1,
29 Mar 20,4*2a,8,2,2,
29 Mar 20,3*3g,2,0,0,
29 Mar 20,6*2a,1,0,0,
29 Mar 20,5*2a,1,1,1,
29 Mar 20,5*2ag,3,0,0,
29 Mar 20,5*3as,1,0,0,
29 Mar 20,5*4a,9,5->6,9,
29 Mar 20,6*5a,1->2,1,1,
29 Mar 20,5*4as,5,1,0,
29 Mar 20,7*3a3s,1,0,0,
29 Mar 20,8*4a2s,3,0,0,
29 Mar 20,7*3a2s,1,0,0,
29 Mar 20,7*3as,5,0,0,
29 Mar 20,7*3a,2,2,0,
29 Mar 20,8*4a,3,2,3,
29 Mar 20,7*2a,2,1,1,
29 Mar 20,7*a,6,0,0,
29 Mar 20,8*d,2,0,0,
29 Mar 20,7*c,1,0,0,
29 Mar 20,9*2a,3,1,0,
29 Mar 20,10*s,8,0,0,
29 Mar 20,10*as,6->7,0,0,
29 Mar 20,10*2a,1,0,0,
29 Mar 20,12*2ag,9,2,4,
29 Mar 20,11*g,3,0,0,
29 Mar 20,12*g,1,0,0,
29 Mar 20,13*g,4,0,0,
29 Mar 20,15*2d,2->3,1,1,
29 Mar 20,16*m,1,0,0,
29 Mar 20,17*a,1,0,0,
29 Mar 20,19*d,7,0,0,
29 Mar 20,19*2d,1,0,0,
29 Mar 20,20*a,3,1,1,
29 Mar 20,21*g,1,0,0,
29 Mar 20,23*3a,5,0,0,
